,measure1,measure2,df,rmcorr.r,lowerCI,upperCI,p.vals,effective.N
1,qol,hopefulness,75,0.466541896,0.270867501,0.625191069,1.90E-05,77
2,qol,health,75,0.326407606,0.110507824,0.512889882,0.003765486,77
3,qol,restedness,75,0.274604899,0.053943926,0.469694829,0.015653561,77
4,qol,falling_asleep,75,-0.120341525,-0.33528315,0.106508122,0.297173043,77
5,qol,staying_asleep,75,-0.214607838,-0.418471732,0.00984418,0.060892387,77
6,qol,waking_early,75,-0.184939458,-0.392653587,0.040726363,0.107350524,77
7,qol,isolation,75,-0.257256255,-0.455017026,-0.035312105,0.023905092,77
8,qol,busy,75,0.338299814,0.123693485,0.522674552,0.002618699,77
9,qol,anxiety,75,-0.028249733,-0.250642663,0.19697543,0.807320299,77
10,qol,depression,75,-0.318914859,-0.506700018,-0.102238975,0.004699934,77
11,qol,lc_sx_1,75,-0.058857943,-0.279156671,0.167326746,0.611123883,77
12,qol,lc_sx_2,75,-0.040037419,-0.261669719,0.185605839,0.729553779,77
13,qol,lc_sx_3,74,-0.382481819,-0.559675097,-0.171844918,0.000650172,76
14,qol,lc_sx_4,74,NA,NA,NA,NA,76
15,qol,lc_sx_5,74,0.007763568,-0.218073678,0.232811612,0.946931589,76
16,qol,lc_sx_6,75,-0.03747526,-0.259277801,0.188082272,0.746256738,77
17,qol,lc_sx_7,75,-0.017984012,-0.240992118,0.206827931,0.876631797,77
18,qol,lc_sx_8,72,0.016618387,-0.212687989,0.24418987,0.88823916,74
19,qol,coping_1,73,0.128026632,-0.101896022,0.34496478,0.273677564,75
20,qol,coping_2,74,-0.096406068,-0.315014678,0.131916722,0.407414686,76
21,qol,coping_3,74,-0.093844637,-0.312684466,0.134455692,0.420046029,76
22,qol,coping_4,74,-0.016415592,-0.240979274,0.209816478,0.888070991,76
23,qol,coping_5,71,-0.054427253,-0.280976166,0.177867266,0.647426944,73
24,qol,functioning,75,0.29670773,0.077906256,0.488239965,0.008785129,77
25,qol,energy,76,0.452260335,0.255437252,0.613088718,3.23E-05,78
26,hopefulness,health,75,0.198493541,-0.026671041,0.404489439,0.083532173,77
27,hopefulness,restedness,75,0.327132828,0.111309754,0.51348797,0.003684482,77
28,hopefulness,falling_asleep,75,-0.048068658,-0.269149727,0.177824699,0.678038134,77
29,hopefulness,staying_asleep,75,-0.200292743,-0.406055388,0.024798587,0.080713705,77
30,hopefulness,waking_early,75,-0.283534547,-0.477207938,-0.063594319,0.012460766,77
31,hopefulness,isolation,75,-0.288709727,-0.481549241,-0.069206098,0.010882328,77
32,hopefulness,busy,75,0.269934362,0.048912776,0.465753906,0.017588192,77
33,hopefulness,anxiety,75,-0.145339279,-0.357674753,0.081285638,0.207238306,77
34,hopefulness,depression,75,-0.354634763,-0.536035899,-0.141929487,0.001553295,77
35,hopefulness,lc_sx_1,75,-0.021079202,-0.24390648,0.203862123,0.855610968,77
36,hopefulness,lc_sx_2,75,0.00922755,-0.215196044,0.23272539,0.936516663,77
37,hopefulness,lc_sx_3,74,-0.232327497,-0.43499805,-0.0072518,0.043430985,76
38,hopefulness,lc_sx_4,74,NA,NA,NA,NA,76
39,hopefulness,lc_sx_5,74,0.075893927,-0.152165272,0.296279911,0.514657089,76
40,hopefulness,lc_sx_6,75,-0.018978272,-0.24192873,0.205875682,0.869869306,77
41,hopefulness,lc_sx_7,75,-0.14911521,-0.361035929,0.077450359,0.195551946,77
42,hopefulness,lc_sx_8,72,0.043159436,-0.187185302,0.26900528,0.715021136,74
43,hopefulness,coping_1,73,-0.019161855,-0.24505794,0.208707662,0.870381241,75
44,hopefulness,coping_2,74,0.014118832,-0.21201158,0.238814189,0.903650475,76
45,hopefulness,coping_3,74,0.017110709,-0.20915168,0.241634099,0.883363911,76
46,hopefulness,coping_4,74,0.124964161,-0.103404692,0.340817557,0.282115118,76
47,hopefulness,coping_5,71,0.157693794,-0.075098054,0.374185551,0.182717129,73
48,hopefulness,functioning,75,0.308977388,0.091318175,0.498460559,0.006253869,77
49,hopefulness,energy,75,0.343991367,0.130031006,0.527340322,0.00218981,77
50,health,restedness,75,0.435576024,0.234472261,0.600928396,7.52E-05,77
51,health,falling_asleep,75,-0.20811646,-0.412850796,0.016637927,0.069326301,77
52,health,staying_asleep,75,-0.224263399,-0.426803769,-0.000299617,0.049906039,77
53,health,waking_early,75,-0.279600697,-0.473901612,-0.059337878,0.013790012,77
54,health,isolation,75,-0.13779724,-0.350944635,0.088926179,0.232048251,77
55,health,busy,75,0.003839019,-0.220329265,0.227622128,0.973565844,77
56,health,anxiety,75,-0.242115454,-0.442118745,-0.019176542,0.033881568,77
57,health,depression,75,-0.15183712,-0.363455449,0.074681503,0.187426545,77
58,health,lc_sx_1,75,-0.172145581,-0.381418089,0.053911931,0.134376497,77
59,health,lc_sx_2,75,0.016447507,-0.208298675,0.239543884,0.887099591,77
60,health,lc_sx_3,74,-0.494084437,-0.647421105,-0.30230374,5.74E-06,76
61,health,lc_sx_4,74,NA,NA,NA,NA,76
62,health,lc_sx_5,74,-0.270452361,-0.467407726,-0.047918658,0.018133023,76
63,health,lc_sx_6,75,0.062642079,-0.1636326,0.282655119,0.588353741,77
64,health,lc_sx_7,75,-0.003726266,-0.227515212,0.220436544,0.974341956,77
65,health,lc_sx_8,72,-0.094610749,-0.316272178,0.136846397,0.422658616,74
66,health,coping_1,73,0.015268811,-0.212429194,0.24139412,0.896551887,75
67,health,coping_2,74,-0.267512551,-0.464927311,-0.044756362,0.019479706,76
68,health,coping_3,74,-0.058102564,-0.279891653,0.169574326,0.618094224,76
69,health,coping_4,74,-0.108677343,-0.32614179,0.119711356,0.350047637,76
70,health,coping_5,71,0.040491687,-0.191358247,0.268061751,0.733759043,73
71,health,functioning,75,0.164114444,-0.062148866,0.374333466,0.153800816,77
72,health,energy,75,0.333759133,0.118649978,0.518944294,0.003013254,77
73,restedness,falling_asleep,75,-0.291453528,-0.483847102,-0.072187023,0.010118369,77
74,restedness,staying_asleep,75,-0.60934657,-0.733250796,-0.446275785,4.08E-09,77
75,restedness,waking_early,75,-0.172367356,-0.381613378,0.053684036,0.133867799,77
76,restedness,isolation,75,-0.290488259,-0.483039017,-0.071137887,0.010381618,77
77,restedness,busy,75,-0.008987394,-0.23249821,0.215425086,0.938165592,77
78,restedness,anxiety,75,-0.208484338,-0.413169763,0.016253467,0.068824457,77
79,restedness,depression,75,-0.123245438,-0.337896841,0.103593013,0.285582419,77
80,restedness,lc_sx_1,75,-0.136381648,-0.349678975,0.090357293,0.236925976,77
81,restedness,lc_sx_2,75,-0.061181282,-0.2813053,0.16505941,0.597098213,77
82,restedness,lc_sx_3,74,-0.287489331,-0.481721578,-0.066333248,0.011797624,76
83,restedness,lc_sx_4,74,NA,NA,NA,NA,76
